customer_id,age,monthly_charges,tenure_months,support_calls,contract_type,internet_service,payment_method,churn
1,25,29.9,3,5,Month-to-month,Fiber,Electronic check,1
2,34,59.5,24,2,One year,DSL,Credit card,0
3,45,89.2,48,1,Two year,Fiber,Bank transfer,0
4,29,45.0,8,4,Month-to-month,DSL,Electronic check,1
5,52,99.5,60,0,Two year,Fiber,Credit card,0
6,41,75.3,36,1,One year,DSL,Bank transfer,0
7,23,25.5,2,6,Month-to-month,Fiber,Electronic check,1
8,38,65.2,30,2,One year,DSL,Credit card,0
9,31,50.0,12,3,Month-to-month,Fiber,Electronic check,1
10,60,110.0,72,0,Two year,Fiber,Bank transfer,0
